City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Abonnema,NG,2022-01-30 19:33:14,4.7084,6.7931,77.67,47,68,6.08
1,Canillo,AD,2022-01-30 19:33:15,42.5833,1.6667,35.29,50,0,2.73
2,Santo Antonio Do Ica,BR,2022-01-30 19:33:15,-3.1022,-67.9397,90.09,51,71,2.95
3,Dikson,RU,2022-01-30 19:33:15,73.5069,80.5464,-3.96,94,100,21.03
4,Roma,US,2022-01-30 19:33:16,43.2128,-75.4557,23.13,43,0,4.61
5,Port Blair,IN,2022-01-30 19:33:16,11.6667,92.75,69.84,88,20,0.0
6,Esperance,AU,2022-01-30 19:33:16,-33.8667,121.9,67.84,67,52,9.08
7,Sitka,US,2022-01-30 19:33:16,57.0531,-135.33,37.29,70,100,10.36
8,Palmer,US,2022-01-30 19:33:17,42.1584,-72.3287,24.67,34,20,1.99
9,Samarai,PG,2022-01-30 19:32:32,-10.6167,150.6667,80.67,77,99,7.72
10,Vaini,TO,2022-01-30 19:33:17,-21.2,-175.2,80.06,78,100,11.12
11,Wamba,NG,2022-01-30 19:33:17,8.9333,8.6,74.43,13,100,5.57
12,East London,ZA,2022-01-30 19:29:35,-33.0153,27.9116,75.25,82,95,16.64
13,Maniitsoq,GL,2022-01-30 19:33:18,65.4167,-52.9,13.37,82,100,3.67
14,Muros,ES,2022-01-30 19:33:18,42.7762,-9.0603,55.9,77,0,4.0
15,Bluff,NZ,2022-01-30 19:33:18,-46.6,168.3333,59.81,88,100,4.05
16,Rikitea,PF,2022-01-30 19:33:18,-23.1203,-134.9692,76.33,63,97,4.09
17,Busselton,AU,2022-01-30 19:33:19,-33.65,115.3333,64.09,65,88,18.79
18,Oliveira Dos Brejinhos,BR,2022-01-30 19:33:19,-12.3169,-42.8961,77.9,74,76,3.31
19,Port Alfred,ZA,2022-01-30 19:33:19,-33.5906,26.891,74.59,86,100,21.05
20,Nikolskoye,RU,2022-01-30 19:31:15,59.7035,30.7861,30.7,96,100,7.14
21,Basco,PH,2022-01-30 19:33:20,20.4487,121.9702,71.11,76,98,32.57
22,Jamestown,US,2022-01-30 19:32:55,42.097,-79.2353,21.02,42,100,3.0
23,Mizdah,LY,2022-01-30 19:33:20,31.4451,12.9801,45.5,74,0,6.22
24,Ushuaia,AR,2022-01-30 19:33:20,-54.8,-68.3,47.86,71,75,29.93
25,Airai,TL,2022-01-30 19:32:31,-8.9266,125.4092,61.14,93,93,3.94
26,Saint-Augustin,CA,2022-01-30 19:33:21,51.226,-58.6502,29.62,95,100,23.78
27,Cape Town,ZA,2022-01-30 19:29:28,-33.9258,18.4232,70.11,83,0,5.99
28,Georgetown,MY,2022-01-30 19:28:30,5.4112,100.3354,82.89,85,20,2.3
29,Mataura,NZ,2022-01-30 19:33:21,-46.1927,168.8643,59.49,87,34,1.03
30,Klaksvik,FO,2022-01-30 19:33:21,62.2266,-6.589,34.72,97,100,18.57
31,Hermanus,ZA,2022-01-30 19:33:22,-34.4187,19.2345,70.81,82,100,14.25
32,Zyryanka,RU,2022-01-30 19:33:22,65.75,150.85,-17.25,97,100,9.8
33,Vagamo,NO,2022-01-30 19:33:22,61.8751,9.0967,7.97,94,94,2.13
34,Saint-Philippe,RE,2022-01-30 19:33:23,-21.3585,55.7679,80.19,82,60,14.36
35,Tasiilaq,GL,2022-01-30 19:33:23,65.6145,-37.6368,8.76,37,94,22.75
36,Manzhouli,CN,2022-01-30 19:33:23,49.6,117.4333,-11.74,95,12,6.22
37,Wilmington Island,US,2022-01-30 19:33:23,32.0036,-80.9737,58.98,39,0,11.5
38,Matara,LK,2022-01-30 19:33:24,5.9485,80.5353,75.85,92,18,7.18
39,Codrington,AU,2022-01-30 19:33:24,-38.2667,141.9667,64.18,93,71,5.99
40,Kieta,PG,2022-01-30 19:33:24,-6.2167,155.6333,79.18,85,100,5.35
41,Bima,ID,2022-01-30 19:33:25,-8.4667,118.7167,76.64,94,100,1.34
42,Saskylakh,RU,2022-01-30 19:33:25,71.9167,114.0833,-21.21,100,100,2.98
43,Punta Arenas,CL,2022-01-30 19:32:47,-53.15,-70.9167,53.71,43,75,32.21
44,Boa Vista,BR,2022-01-30 19:33:25,2.8197,-60.6733,91.38,38,75,14.97
45,Komsomolskiy,UZ,2022-01-30 19:34:25,40.4272,71.7189,29.12,86,100,4.61
46,Bolshaya Sosnova,RU,2022-01-30 19:34:26,57.6713,54.6029,2.25,100,97,3.38
47,Fortuna,US,2022-01-30 19:30:47,40.5982,-124.1573,55.92,82,0,1.01
48,Bethel,US,2022-01-30 19:30:04,41.3712,-73.414,26.2,46,0,8.05
49,Hanumangarh,IN,2022-01-30 19:34:26,29.5833,74.3167,56.44,31,0,2.37
50,Butaritari,KI,2022-01-30 19:34:26,3.0707,172.7902,81.91,76,55,22.1
51,Provideniya,RU,2022-01-30 19:34:27,64.3833,-173.3,5.07,80,1,8.9
52,Grindavik,IS,2022-01-30 19:34:27,63.8424,-22.4338,26.55,86,75,32.21
53,Jibuti,DJ,2022-01-30 19:34:27,11.5,42.5,71.02,65,9,15.64
54,Albany,US,2022-01-30 19:29:38,42.6001,-73.9662,22.75,36,59,1.01
55,Mar Del Plata,AR,2022-01-30 19:30:44,-38.0023,-57.5575,84.22,48,75,18.41
56,Saldanha,ZA,2022-01-30 19:34:28,-33.0117,17.9442,69.85,90,64,12.12
57,Puerto Ayora,EC,2022-01-30 19:34:28,-0.7393,-90.3518,85.96,71,100,9.19
58,Santa Isabel,BR,2022-01-30 19:34:28,-23.3156,-46.2214,71.38,96,100,1.83
59,Mahon,ES,2022-01-30 19:34:28,39.8885,4.2658,50.56,81,0,8.05
60,Kattivakkam,IN,2022-01-30 19:34:29,13.2167,80.3167,79.07,81,7,5.35
61,Narsaq,GL,2022-01-30 19:34:29,60.9167,-46.05,10.62,65,100,11.99
62,Bengkulu,ID,2022-01-30 19:34:29,-3.8004,102.2655,75.76,91,100,4.0
63,Hobart,AU,2022-01-30 19:30:16,-42.8794,147.3294,58.05,94,75,1.99
